ID,TaxaMutacao,Selecao,Crossover,Reinsercao,Convergencias,TempoMedio_ms,TaxaConvergencia
1,0.1,Torneio(3),Ciclico,Ordenada,191,0.5488,19.1
2,0.1,Torneio(3),Ciclico,Elitismo(20%),197,0.4722,19.7
3,0.1,Torneio(3),PMX,Ordenada,249,0.5171,24.9
4,0.1,Torneio(3),PMX,Elitismo(20%),331,0.4681,33.1
5,0.1,Roleta,Ciclico,Ordenada,161,1.3644,16.1
6,0.1,Roleta,Ciclico,Elitismo(20%),188,1.3154,18.8
7,0.1,Roleta,PMX,Ordenada,266,1.3226,26.6
8,0.1,Roleta,PMX,Elitismo(20%),420,1.2583,42.0
9,0.2,Torneio(3),Ciclico,Ordenada,226,0.4857,22.6
10,0.2,Torneio(3),Ciclico,Elitismo(20%),213,0.4727,21.3
11,0.2,Torneio(3),PMX,Ordenada,322,0.4869,32.2
12,0.2,Torneio(3),PMX,Elitismo(20%),372,0.4828,37.2
13,0.2,Roleta,Ciclico,Ordenada,215,1.3538,21.5
14,0.2,Roleta,Ciclico,Elitismo(20%),242,1.4076,24.2
15,0.2,Roleta,PMX,Ordenada,323,1.1959,32.3
16,0.2,Roleta,PMX,Elitismo(20%),512,1.2297,51.2
