ID,Descricao,PopSize,Geracoes,TaxaMutacao,TaxaCrossover,Elitismo,Convergencias,TempoMedio_ms,TaxaConvergencia,AcrescimoTempo_pct
V0,Baseline (Config 16),100,50,0.20,0.80,0.20,485,1.3261,48.5,0.0
V1,Geracoes 75,100,75,0.20,0.80,0.20,545,1.5242,54.5,14.9
V2,Geracoes 100,100,100,0.20,0.80,0.20,508,1.9638,50.8,48.1
V3,Populacao 150,150,50,0.20,0.80,0.20,649,1.9803,64.9,49.3
V4,Populacao 200,200,50,0.20,0.80,0.20,766,3.0040,76.6,126.5
V5,Mutacao 30%,100,50,0.30,0.80,0.20,622,1.2282,62.2,-7.4
V6,Mutacao 40%,100,50,0.40,0.80,0.20,868,1.1154,86.8,-15.9
V7,Elitismo 10%,100,50,0.20,0.80,0.10,673,1.3076,67.3,-1.4
V8,Elitismo 30%,100,50,0.20,0.80,0.30,472,1.1928,47.2,-10.0
V9,Pop150 + Gen75,150,75,0.20,0.80,0.20,649,2.5714,64.9,93.9
V10,Pop150 + Mut30%,150,50,0.30,0.80,0.20,749,2.0170,74.9,52.1
V11,Gen75 + Mut30%,100,75,0.30,0.80,0.20,669,1.5525,66.9,17.1
