ID,Descricao,Problema,Convergencias,TempoMedio_ms,TaxaConvergencia
V0,Baseline Etapa 3 (V15),SEND+MORE=MONEY,983,1.2671,98.3
V0,Baseline Etapa 3 (V15),EAT+THAT=APPLE,993,0.8823,99.3
V0,Baseline Etapa 3 (V15),CROSS+ROADS=DANGER,26,3.0994,2.6
V0,Baseline Etapa 3 (V15),COCA+COLA=OASIS,290,2.5126,29.0
V0,Baseline Etapa 3 (V15),DONALD+GERALD=ROBERT,84,3.1314,8.4
V1,PositionalErrorFitness,SEND+MORE=MONEY,172,3.1024,17.2
V1,PositionalErrorFitness,EAT+THAT=APPLE,356,2.4965,35.6
V1,PositionalErrorFitness,CROSS+ROADS=DANGER,61,3.3635,6.1
V1,PositionalErrorFitness,COCA+COLA=OASIS,348,2.6335,34.8
V1,PositionalErrorFitness,DONALD+GERALD=ROBERT,118,3.3131,11.8
V2,PositionalError + Mut 60%,SEND+MORE=MONEY,201,3.0416,20.1
V2,PositionalError + Mut 60%,EAT+THAT=APPLE,351,2.5760,35.1
V2,PositionalError + Mut 60%,CROSS+ROADS=DANGER,78,3.3333,7.8
V2,PositionalError + Mut 60%,COCA+COLA=OASIS,432,2.5681,43.2
V2,PositionalError + Mut 60%,DONALD+GERALD=ROBERT,144,3.6426,14.4
V3,PositionalError + Tournament,SEND+MORE=MONEY,114,1.6689,11.4
V3,PositionalError + Tournament,EAT+THAT=APPLE,279,1.3498,27.9
V3,PositionalError + Tournament,CROSS+ROADS=DANGER,47,1.7894,4.7
V3,PositionalError + Tournament,COCA+COLA=OASIS,161,1.5371,16.1
V3,PositionalError + Tournament,DONALD+GERALD=ROBERT,86,1.7844,8.6
V4,PositionalError + CyclicCross,SEND+MORE=MONEY,132,3.1236,13.2
V4,PositionalError + CyclicCross,EAT+THAT=APPLE,301,2.5024,30.1
V4,PositionalError + CyclicCross,CROSS+ROADS=DANGER,52,3.1797,5.2
V4,PositionalError + CyclicCross,COCA+COLA=OASIS,307,2.5558,30.7
V4,PositionalError + CyclicCross,DONALD+GERALD=ROBERT,100,3.1384,10.0
V5,Global + Geracoes 110,SEND+MORE=MONEY,998,1.2338,99.8
V5,Global + Geracoes 110,EAT+THAT=APPLE,998,0.9330,99.8
V5,Global + Geracoes 110,CROSS+ROADS=DANGER,25,4.5894,2.5
V5,Global + Geracoes 110,COCA+COLA=OASIS,310,3.8366,31.0
V5,Global + Geracoes 110,DONALD+GERALD=ROBERT,142,4.4148,14.2
V6,Global + Pop 150,SEND+MORE=MONEY,999,1.9106,99.9
V6,Global + Pop 150,EAT+THAT=APPLE,999,1.3445,99.9
V6,Global + Pop 150,CROSS+ROADS=DANGER,36,5.9277,3.6
V6,Global + Pop 150,COCA+COLA=OASIS,381,4.3255,38.1
V6,Global + Pop 150,DONALD+GERALD=ROBERT,141,5.6855,14.1
V7,Global + Pop 200 + Ger 100,SEND+MORE=MONEY,1000,2.8311,100.0
V7,Global + Pop 200 + Ger 100,EAT+THAT=APPLE,1000,1.9349,100.0
V7,Global + Pop 200 + Ger 100,CROSS+ROADS=DANGER,37,12.8586,3.7
V7,Global + Pop 200 + Ger 100,COCA+COLA=OASIS,487,7.9466,48.7
V7,Global + Pop 200 + Ger 100,DONALD+GERALD=ROBERT,220,11.5799,22.0
